id;tp;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;dec
22;1;5.45;7.49;2.18;9.61;2.56;8.98;8.49;6.65;0.57;9.3;3.83;9.48;4.6;2.82;3.29;1
22;2;4.34;8.2;0.6;0.95;3.44;0.22;6.07;8.31;4.0;3.97;1.59;3.54;6.69;3.82;9.72;1
22;3;6.98;8.86;1.32;9.69;6.97;8.42;4.29;4.09;2.75;1.45;3.78;3.72;1.42;0.79;8.55;1
22;4;0.16;4.16;9.8;6.12;3.63;7.01;0.72;1.25;9.42;7.79;3.02;3.68;1.3;2.3;1.15;1
22;5;5.63;8.91;5.39;0.01;1.54;3.09;0.72;8.15;9.26;6.43;8.59;4.53;6.87;5.4;0.52;1
22;6;5.37;3.77;6.18;0.55;6.41;2.81;3.56;2.44;1.35;4.77;7.91;2.05;7.52;0.89;5.01;1
22;7;5.61;7.08;5.66;7.18;8.71;6.1;3.3;3.63;7.49;8.49;7.54;8.96;5.7;3.81;2.86;1
22;8;6.57;3.12;8.46;3.83;1.26;7.11;3.72;3.97;0.81;9.95;8.16;6.42;3.07;3.94;2.95;1
22;9;8.2;3.25;4.02;4.81;6.24;8.17;6.61;6.21;8.3;8.92;7.81;3.45;6.93;9.52;3.65;1
22;10;6.26;0.03;8.8;9.32;7.0;5.66;7.44;8.78;4.49;6.8;7.0;1.8;7.61;0.32;2.97;1
23;1;4.27;8.38;1.33;0.82;8.03;8.08;1.96;1.81;1.37;4.2;0.16;8.94;0.04;0.74;4.45;1
23;2;2.68;5.99;5.27;0.32;4.23;5.05;8.98;9.68;9.6;9.42;4.2;3.91;6.76;0.82;4.31;1
23;3;5.85;9.94;8.63;1.73;4.26;4.29;7.58;7.09;7.95;0.36;2.32;1.71;2.75;1.91;5.31;1
23;4;4.67;8.49;5.53;1.89;8.65;2.58;7.6;9.38;6.81;7.16;9.53;8.41;1.46;7.39;5.27;1
23;5;6.32;2.89;4.98;0.32;1.8;5.64;8.54;7.86;3.01;0.15;2.75;8.08;4.64;6.86;3.3;1
23;6;2.42;2.59;3.01;4.56;4.89;6.68;9.48;8.45;1.05;8.5;7.01;0.42;1.69;9.43;0.6;1
23;7;8.76;7.04;1.34;3.38;5.74;3.31;7.24;9.69;3.56;7.25;5.49;1.62;3.15;9.3;7.74;1
23;8;6.65;3.3;4.53;2.38;4.93;3.2;3.82;7.8;3.45;9.49;1.42;3.47;0.04;3.07;8.27;1
23;9;5.32;2.11;3.94;5.12;3.91;0.13;8.74;8.58;5.82;5.84;1.56;5.47;7.55;1.07;5.49;1
23;10;7.23;1.91;3.68;4.55;1.92;3.15;9.79;5.06;0.5;1.27;9.0;8.2;9.73;4.5;4.07;1
24;1;3.49;3.31;5.87;4.46;0.11;0.06;4.74;9.95;6.17;7.01;7.93;8.54;4.09;8.44;3.64;2
24;2;0.99;9.87;1.04;4.51;5.28;6.14;7.87;9.37;8.19;0.88;6.85;9.12;6.02;4.32;7.11;2
24;3;9.33;0.42;2.08;1.32;3.78;5.47;3.49;2.15;2.67;2.41;4.49;1.41;1.32;0.02;1.95;2
24;4;8.39;4.77;5.73;0.27;0.44;6.12;9.79;7.05;9.28;2.97;3.98;3.26;3.33;9.85;5.88;2
24;5;3.7;4.64;6.89;5.96;0.66;0.78;7.87;4.65;8.35;0.78;2.9;5.37;3.35;8.67;8.7;2
24;6;0.32;3.08;9.15;3.07;5.89;4.61;7.24;0.61;8.34;5.34;3.52;8.93;2.19;0.8;1.68;2
24;7;5.75;8.67;0.6;6.01;5.37;2.53;0.48;6.07;0.98;5.42;3.6;8.25;0.28;1.28;9.08;2
24;8;0.85;9.45;8.51;8.99;9.44;6.34;4.94;5.51;1.51;2.0;5.99;9.61;4.91;9.21;4.9;2
24;9;5.81;0.71;5.93;7.16;6.95;2.89;7.51;0.85;3.38;9.8;3.25;7.54;8.19;9.22;4.0;2
24;10;3.31;2.6;8.0;9.52;5.82;7.2;6.93;5.17;6.24;6.08;7.32;6.36;4.73;9.63;5.42;2
25;1;8.26;4.45;2.14;2.88;9.25;4.83;9.2;7.49;5.08;8.98;8.82;0.88;8.15;7.36;8.12;3
25;2;8.4;9.63;6.02;2.51;9.45;6.59;3.78;3.94;0.56;1.48;1.38;8.21;6.79;4.56;2.54;3
25;3;2.81;6.61;2.43;6.22;6.34;8.37;4.02;4.23;2.39;1.51;2.9;3.28;7.13;1.67;9.87;3
25;4;9.41;8.53;7.9;2.55;6.03;0.23;6.79;1.34;6.71;1.64;3.06;9.52;5.51;2.44;3.15;3
25;5;6.22;2.02;4.48;1.41;6.95;6.39;1.11;6.94;1.58;7.64;7.23;4.31;2.82;2.79;2.35;3
25;6;7.01;3.06;3.57;6.66;2.01;9.79;2.78;5.67;2.12;3.72;7.64;9.67;6.78;5.14;3.04;3
25;7;2.16;1.53;6.0;2.62;3.47;9.73;4.35;5.08;6.91;3.18;9.07;0.42;3.86;3.74;4.58;3
25;8;9.24;6.19;7.01;1.41;9.69;9.13;0.6;0.28;2.22;3.62;8.27;7.68;6.83;5.12;0.93;3
25;9;2.84;2.08;6.03;7.0;8.35;2.38;2.29;8.75;2.2;4.53;2.3;1.28;0.27;6.87;7.5;3
25;10;2.44;3.84;7.25;5.06;4.35;2.1;5.9;3.47;3.1;3.65;2.73;6.17;7.18;4.3;6.33;3
26;1;2.71;6.18;0.66;4.19;7.78;9.3;1.16;8.87;8.8;9.87;0.78;6.97;6.38;5.28;6.38;2
26;2;3.26;8.97;0.51;3.95;0.28;8.57;0.19;6.19;1.03;3.38;9.6;8.1;6.86;1.77;7.45;2
26;3;2.18;6.31;0.68;6.03;9.0;2.99;3.79;8.59;1.11;9.66;1.01;3.52;1.11;0.78;8.67;2
26;4;9.38;2.38;6.59;8.16;1.51;6.53;2.34;1.98;2.75;5.65;4.06;6.16;0.35;6.96;9.63;2
26;5;1.31;0.35;3.4;5.95;2.61;3.49;4.27;0.58;5.96;3.57;2.33;2.08;5.42;0.98;2.54;2
26;6;3.43;4.27;4.6;2.49;2.71;5.3;3.03;6.7;7.18;6.25;7.9;3.43;2.44;3.87;1.11;2
26;7;1.93;3.66;6.42;4.54;3.26;4.56;0.99;9.62;1.92;9.55;1.2;7.32;2.29;1.2;9.7;2
26;8;3.51;7.47;3.41;0.92;2.76;5.19;0.84;7.26;0.08;2.11;1.44;10.0;2.52;1.95;9.98;2
26;9;7.0;4.04;0.43;0.86;9.62;3.3;0.21;5.57;5.06;6.7;3.23;1.33;4.97;6.85;9.3;2
26;10;0.38;7.1;4.7;0.98;9.25;4.46;6.49;7.35;7.2;2.39;1.42;6.11;9.38;3.29;9.85;2
27;1;2.63;5.49;5.55;8.95;2.09;7.4;5.7;7.44;3.36;7.12;8.62;4.23;1.19;9.75;6.06;1
27;2;6.33;2.0;3.89;3.17;2.21;9.82;7.7;7.03;7.24;8.64;7.05;9.94;4.42;7.15;6.57;1
27;3;4.62;0.42;0.12;4.14;6.56;3.84;0.39;5.53;6.28;5.31;9.96;5.16;1.09;5.47;7.44;1
27;4;2.33;2.27;3.51;2.89;1.89;3.93;0.07;4.74;5.92;8.09;2.31;5.56;9.27;8.66;6.82;1
27;5;9.97;9.97;6.95;3.05;5.88;9.1;5.74;4.81;2.98;6.65;4.8;8.89;1.53;4.48;2.08;1
27;6;0.46;3.55;5.22;7.78;7.11;0.51;5.28;2.49;8.76;2.32;9.74;9.17;0.27;3.25;2.9;1
27;7;3.77;5.69;2.16;0.28;1.14;0.7;7.87;3.03;8.06;0.75;6.78;4.67;5.98;0.04;2.56;1
27;8;8.3;2.81;1.65;6.69;2.07;2.92;7.7;5.47;2.97;5.89;8.4;1.42;1.47;0.17;7.04;1
27;9;0.53;1.15;0.97;8.13;6.85;8.38;6.19;6.12;7.82;6.0;7.92;8.91;5.62;6.22;9.07;1
27;10;6.46;6.1;5.43;8.74;0.35;1.58;4.3;7.44;3.85;9.26;3.44;7.79;3.94;0.59;5.62;1
28;1;4.37;1.68;9.52;6.73;5.86;7.27;9.26;1.43;0.97;6.45;1.51;5.44;3.71;2.68;4.18;2
28;2;1.54;8.93;7.41;2.65;6.43;8.49;5.09;5.65;5.8;4.28;7.41;3.85;5.92;4.8;2.09;2
28;3;4.92;2.63;0.95;1.48;2.65;3.14;4.93;4.71;6.11;6.38;4.79;7.63;1.13;5.44;4.85;2
28;4;9.16;6.94;3.5;5.87;2.02;6.86;2.36;8.0;7.68;5.12;5.23;8.87;4.3;5.32;4.45;2
28;5;0.02;1.42;7.37;9.41;9.71;0.15;7.54;0.89;0.79;8.02;5.21;7.4;5.2;4.9;3.8;2
28;6;4.59;5.21;6.85;1.06;0.31;5.52;1.42;3.82;3.63;6.03;1.71;8.3;8.73;3.62;2.17;2
28;7;6.6;0.87;4.18;7.98;7.01;3.69;7.04;6.03;6.8;9.02;0.82;5.42;0.31;8.26;8.85;2
28;8;3.21;4.0;1.32;5.63;6.7;2.57;3.36;3.8;8.86;5.41;9.77;5.69;9.19;7.82;1.34;2
28;9;4.04;3.68;4.21;4.18;4.32;4.16;9.32;3.47;7.39;3.32;3.37;5.23;0.7;9.11;5.08;2
28;10;1.69;7.71;5.83;6.03;3.43;5.58;5.87;3.95;3.61;5.22;8.78;5.37;2.91;4.39;3.04;2
29;1;7.61;2.57;1.56;0.82;0.97;1.31;5.41;3.96;8.2;1.4;8.11;4.28;1.78;7.92;3.9;1
29;2;8.23;9.42;0.53;5.27;0.55;0.31;7.53;4.88;4.83;5.42;1.37;2.9;2.01;0.17;1.36;1
29;3;6.82;9.25;2.71;5.69;3.18;5.47;5.55;4.42;6.17;3.18;0.5;0.06;4.17;9.72;2.65;1
29;4;0.28;7.54;5.94;0.63;9.66;1.04;9.25;2.84;9.01;6.15;0.05;6.83;4.61;6.77;8.38;1
29;5;3.99;5.03;3.53;9.79;2.51;7.22;5.1;4.03;6.2;4.47;6.99;8.7;7.04;3.39;5.48;1
29;6;8.94;9.26;1.0;0.46;7.47;7.95;0.57;8.34;0.82;8.3;2.02;2.34;3.15;8.24;6.36;1
29;7;6.43;7.25;6.53;7.82;4.83;5.18;0.03;8.28;2.49;2.29;4.55;0.93;3.12;7.48;2.29;1
29;8;8.55;0.93;4.32;2.22;4.92;5.82;4.03;9.39;2.38;5.05;9.55;8.16;9.83;9.78;4.71;1
29;9;2.33;5.22;3.82;2.29;3.62;4.59;9.08;2.17;3.12;6.06;7.17;7.36;6.36;0.15;4.08;1
29;10;0.6;6.92;1.98;9.04;2.65;6.35;8.71;8.13;7.51;2.42;8.71;9.46;5.12;9.41;8.87;1
30;1;3.06;9.21;6.38;4.63;6.69;8.22;2.97;8.47;2.98;1.0;1.78;3.31;3.79;4.61;2.03;3
30;2;2.33;3.9;8.85;8.98;0.69;5.97;7.0;8.08;9.74;3.38;4.27;6.32;5.43;8.73;4.36;3
30;3;2.04;3.97;1.9;1.89;3.53;2.95;8.72;6.76;4.86;0.73;7.33;7.03;3.45;2.93;3.97;3
30;4;0.02;4.05;8.1;6.81;6.75;6.19;3.71;3.6;7.64;6.82;9.98;4.11;7.37;4.86;5.91;3
30;5;7.56;6.54;9.46;1.47;0.28;5.58;8.02;8.05;3.48;5.71;1.8;3.49;5.67;1.21;3.04;3
30;6;0.71;6.19;8.39;4.16;4.59;2.09;8.13;7.58;7.47;0.27;1.78;8.37;7.69;0.65;8.92;3
30;7;1.49;0.75;3.14;5.41;7.23;0.69;5.7;6.21;7.66;4.14;3.18;0.22;6.65;5.25;5.6;3
30;8;8.41;2.09;4.95;3.58;6.47;0.47;4.12;2.84;8.62;8.99;6.24;9.73;6.33;0.08;9.49;3
30;9;4.08;6.57;8.85;0.98;8.26;3.79;9.14;3.24;3.55;4.56;3.8;1.41;9.31;1.32;0.27;3
30;10;8.68;4.1;3.43;0.61;5.35;3.4;3.96;6.5;5.95;7.73;8.8;6.52;6.74;7.62;5.43;3
31;1;6.97;6.27;1.91;8.25;8.53;0.4;4.83;1.68;7.28;1.6;1.3;2.85;7.8;5.31;9.64;3
31;2;3.19;5.95;9.57;3.3;8.8;6.3;3.44;9.79;1.79;8.41;5.08;9.89;2.46;1.98;0.09;3
31;3;0.6;0.16;9.27;7.5;0.55;0.36;7.77;8.44;8.18;5.95;4.23;8.94;2.8;0.03;6.72;3
31;4;5.51;3.07;6.25;5.22;1.55;9.86;4.19;8.01;2.62;3.33;5.55;6.08;3.5;2.3;9.45;3
31;5;4.26;5.25;0.06;4.96;4.63;9.03;9.49;0.24;0.14;1.23;7.49;4.57;5.85;6.76;2.04;3
31;6;0.62;3.01;0.84;8.43;4.51;8.58;0.52;7.06;1.82;1.38;1.52;2.46;1.58;5.05;0.69;3
31;7;5.12;1.56;9.74;6.49;3.69;3.19;3.1;7.2;4.98;3.12;8.45;4.11;4.02;4.24;3.78;3
31;8;1.54;6.37;4.22;8.29;9.39;3.41;8.97;3.63;7.52;3.68;5.09;9.38;5.93;2.1;1.49;3
31;9;2.11;6.47;6.51;5.9;6.12;8.94;1.73;2.54;0.01;7.33;1.57;9.9;2.3;5.03;8.02;3
31;10;4.07;5.55;4.74;9.32;0.33;8.5;2.25;1.49;8.83;7.0;6.58;8.73;2.53;1.31;5.74;3
32;1;4.19;4.76;5.58;1.26;9.74;2.62;1.42;9.29;0.24;0.52;5.03;3.05;3.23;7.67;8.64;3
32;2;6.28;5.66;7.08;0.55;4.31;8.35;0.8;8.06;5.83;8.11;2.08;4.15;9.65;2.19;8.42;3
32;3;0.2;0.66;3.05;0.23;6.62;2.17;7.52;3.05;0.98;7.49;1.5;2.23;3.05;8.22;4.58;3
32;4;5.56;0.44;9.12;2.16;6.6;0.14;6.05;0.88;1.69;2.92;1.84;4.31;4.75;8.24;1.8;3
32;5;2.64;8.25;7.78;1.09;8.07;2.01;6.42;4.62;6.14;1.7;9.27;3.37;0.23;4.75;0.17;3
32;6;3.58;7.22;0.73;2.04;1.96;4.05;9.15;5.26;2.22;8.43;6.82;6.28;6.64;7.24;7.85;3
32;7;6.53;4.65;9.84;6.75;8.74;5.46;5.38;4.2;4.25;3.42;9.11;8.28;8.89;3.31;4.75;3
32;8;8.16;0.02;7.6;4.25;0.57;8.99;1.32;7.96;7.06;3.02;4.12;2.86;2.17;1.12;6.57;3
32;9;8.68;6.96;3.99;2.1;9.2;3.65;0.29;4.79;7.07;9.7;3.21;6.78;0.96;2.18;8.51;3
32;10;4.79;7.15;6.4;9.73;5.93;4.73;8.53;7.11;1.07;9.97;8.29;6.12;7.31;9.11;3.23;3
33;1;0.31;5.13;5.68;6.59;3.93;4.61;5.89;1.06;2.54;9.64;0.89;7.19;9.08;8.33;6.29;2
33;2;5.98;5.93;9.06;0.96;4.06;8.21;1.82;4.95;9.17;2.42;5.11;6.33;3.52;3.54;9.71;2
33;3;9.8;7.48;7.8;7.51;6.35;1.36;4.87;0.71;2.46;0.66;6.57;2.63;5.71;0.41;6.27;2
33;4;0.3;7.84;2.96;0.05;2.17;7.65;6.42;0.91;8.97;0.61;9.24;0.12;4.04;0.37;1.38;2
33;5;9.32;5.5;9.38;0.1;0.25;6.88;0.7;1.01;1.18;9.34;4.05;5.65;8.43;2.34;9.02;2
33;6;5.84;5.08;8.76;0.52;1.92;4.64;2.82;6.43;5.62;2.66;4.95;8.94;2.65;1.65;9.1;2
33;7;9.08;5.75;6.85;6.73;0.18;6.35;10.0;9.02;7.94;7.85;1.59;5.26;8.43;8.5;3.55;2
33;8;0.56;5.51;1.58;0.83;9.86;2.52;1.24;8.92;9.08;9.83;6.02;3.12;4.19;1.72;7.38;2
33;9;9.52;5.17;1.21;6.93;3.07;6.77;6.3;0.3;6.35;6.23;3.04;0.02;5.82;6.98;4.39;2
33;10;3.28;7.36;5.67;1.11;3.62;3.65;4.44;1.76;1.99;5.41;3.62;8.39;0.59;2.95;4.33;2
34;1;4.55;6.51;4.07;5.08;2.99;0.86;3.84;4.73;7.27;6.06;1.18;2.1;9.95;4.59;6.63;1
34;2;3.94;8.74;1.08;2.73;6.74;7.34;1.06;7.49;0.84;1.62;0.11;0.43;5.95;3.66;3.01;1
34;3;5.18;1.95;1.79;9.41;9.65;9.99;0.01;8.27;7.41;1.0;7.18;5.89;4.14;0.57;9.92;1
34;4;8.98;1.41;8.52;4.49;8.85;0.41;6.34;0.36;9.35;4.29;2.66;8.49;2.94;4.88;2.31;1
34;5;5.08;6.43;3.85;1.14;3.0;5.68;9.36;6.4;6.16;1.65;7.41;3.83;5.05;2.12;9.01;1
34;6;0.88;3.8;0.74;4.32;3.23;7.44;9.52;3.22;5.65;4.88;8.15;7.25;9.25;7.68;4.61;1
34;7;7.74;4.32;4.4;8.99;1.12;8.11;0.63;7.25;2.97;8.1;4.13;8.71;0.92;3.63;9.15;1
34;8;8.31;0.51;4.35;9.93;9.61;3.47;0.04;8.55;0.97;6.24;6.02;4.24;5.55;3.09;2.51;1
34;9;9.26;9.43;3.82;8.04;9.01;9.44;6.05;6.5;1.18;0.61;2.78;5.05;5.53;5.75;5.93;1
34;10;3.03;5.12;6.31;3.03;7.45;0.66;0.48;6.47;3.62;3.71;0.97;3.57;4.22;5.03;5.8;1
35;1;4.09;3.16;0.37;9.24;1.46;6.47;1.57;0.75;6.29;7.97;7.68;9.16;0.36;7.54;0.39;2
35;2;6.71;8.8;7.92;9.52;1.47;5.09;4.26;3.43;0.18;7.12;3.12;7.04;0.95;8.58;8.84;2
35;3;3.99;3.48;0.4;7.67;1.13;1.68;2.96;4.98;5.28;8.03;3.95;0.67;3.25;1.58;5.92;2
35;4;8.71;7.61;5.52;0.13;6.26;8.28;3.18;3.7;4.02;9.03;9.0;4.69;8.7;8.44;0.8;2
35;5;7.73;6.58;8.64;5.9;6.46;9.55;5.59;3.32;0.91;2.96;2.99;3.55;1.76;4.21;5.61;2
35;6;1.23;6.42;1.77;1.67;1.46;0.79;0.95;4.36;9.12;6.9;8.74;9.44;8.53;2.66;9.53;2
35;7;0.18;8.8;9.88;6.86;4.22;4.05;7.42;5.77;1.6;0.03;9.53;0.45;5.05;0.93;5.24;2
35;8;0.59;9.77;3.86;4.35;7.04;6.88;2.39;4.17;9.52;8.34;4.32;6.12;0.34;6.5;8.93;2
35;9;2.52;6.83;7.45;2.84;1.6;0.19;6.23;7.06;5.36;7.31;0.03;1.93;0.56;1.46;4.68;2
35;10;1.93;1.32;8.01;7.21;8.53;4.08;9.09;1.4;7.81;8.04;1.32;6.65;3.35;3.87;0.96;2
36;1;4.77;6.61;9.49;9.8;4.47;3.1;4.04;4.04;3.42;4.4;2.85;7.67;0.89;8.5;9.29;1
36;2;8.96;8.83;4.78;7.53;6.2;6.38;2.32;1.79;7.32;8.04;1.12;2.33;3.34;9.03;1.81;1
36;3;6.58;6.43;4.85;0.23;0.97;2.51;5.02;7.56;9.29;9.42;3.82;6.58;1.85;8.47;0.74;1
36;4;1.51;8.07;8.15;9.25;2.99;9.88;4.31;6.14;8.0;9.7;8.38;4.02;7.57;3.54;8.97;1
36;5;8.36;9.92;8.75;2.88;2.76;5.63;6.95;1.84;1.92;1.42;8.44;3.0;9.63;1.67;8.43;1
36;6;1.12;1.62;9.14;1.7;9.48;6.03;4.95;2.26;7.88;3.94;7.41;5.26;0.78;9.57;3.05;1
36;7;4.27;5.83;0.65;8.54;0.11;3.32;5.52;2.98;2.88;7.05;2.71;9.48;8.51;4.69;2.57;1
36;8;0.48;8.45;7.89;1.84;5.86;4.25;8.19;4.88;0.14;8.03;7.16;1.47;9.3;5.22;7.94;1
36;9;5.46;5.62;6.56;2.87;6.12;2.61;3.89;5.61;7.73;0.98;4.06;4.11;8.59;7.66;7.09;1
36;10;6.98;7.67;8.13;9.12;2.14;4.74;3.54;4.68;1.74;7.57;0.72;4.16;5.22;5.49;9.75;1
37;1;4.12;3.47;7.76;3.34;8.6;9.19;7.89;4.72;2.6;2.34;2.03;0.44;7.28;7.39;5.01;2
37;2;7.9;2.0;3.39;8.53;2.32;0.79;4.26;2.48;6.11;2.89;9.3;0.49;3.44;7.24;2.86;2
37;3;3.03;8.21;3.14;9.68;7.14;5.44;3.51;4.08;8.92;4.68;3.75;2.25;0.83;0.42;1.42;2
37;4;3.25;0.51;7.35;9.49;4.85;2.29;9.27;9.53;1.77;4.86;9.66;4.23;0.77;5.86;1.22;2
37;5;4.7;9.04;2.06;9.67;8.39;1.11;8.65;4.58;4.95;7.33;7.24;9.56;0.06;4.52;8.13;2
37;6;6.91;1.02;6.79;6.4;2.02;7.07;7.45;5.45;2.05;4.29;3.88;3.37;4.32;8.23;3.96;2
37;7;7.96;2.68;6.47;8.18;3.73;7.77;7.02;7.44;7.72;7.87;1.2;9.68;8.91;4.88;2.5;2
37;8;7.0;6.84;7.31;6.09;1.8;0.02;9.61;3.01;5.28;6.73;4.01;1.83;1.56;6.12;0.98;2
37;9;5.98;8.28;1.57;0.95;6.98;10.0;6.38;3.99;9.65;0.38;4.46;5.36;5.7;9.71;7.45;2
37;10;8.04;7.71;8.92;1.89;0.9;0.22;9.96;9.33;4.5;9.03;8.08;3.1;4.43;4.46;1.58;2
38;1;2.23;0.88;2.19;5.04;6.13;1.81;2.91;3.33;7.61;1.74;4.76;3.37;3.51;2.81;7.04;2
38;2;8.78;5.36;6.76;6.35;5.59;5.89;7.06;2.28;7.16;9.94;3.99;5.18;0.11;4.66;4.8;2
38;3;9.71;3.35;5.09;9.02;1.1;8.4;3.04;1.36;6.68;3.45;4.8;3.33;4.7;8.43;9.64;2
38;4;5.5;4.28;4.06;8.91;0.33;3.19;1.37;7.27;5.58;0.54;0.9;9.48;9.25;8.22;8.76;2
38;5;0.06;7.04;0.86;0.82;5.65;0.92;7.86;5.67;3.27;1.76;9.14;0.7;6.32;7.83;2.11;2
38;6;2.15;3.84;0.7;6.45;7.36;3.65;9.14;7.17;5.2;1.04;7.74;1.25;8.84;2.09;8.21;2
38;7;5.77;0.99;6.11;3.75;5.22;4.72;1.53;4.43;7.48;0.39;8.18;9.53;4.63;2.37;5.81;2
38;8;3.41;4.84;1.68;5.17;5.0;6.65;2.56;9.77;1.82;3.39;2.26;2.92;2.75;1.25;4.84;2
38;9;6.27;5.56;7.54;8.2;6.03;1.26;0.67;7.76;1.22;3.15;3.58;2.26;7.01;3.09;5.75;2
38;10;9.66;8.84;9.42;0.31;3.74;7.47;5.4;3.4;6.13;1.68;2.75;9.0;8.6;5.72;9.7;2
39;1;0.99;4.91;3.65;7.12;4.27;0.81;5.18;5.5;9.83;8.57;8.32;7.75;6.18;0.2;3.55;3
39;2;7.12;0.48;0.47;2.66;4.68;1.56;6.26;9.84;0.91;3.72;7.5;5.16;0.23;1.53;2.98;3
39;3;2.27;3.32;8.95;2.45;0.99;7.78;6.36;9.04;9.49;4.98;2.78;0.43;5.9;3.28;5.81;3
39;4;5.45;4.61;9.77;1.72;6.85;3.53;0.04;5.69;8.44;2.91;1.59;3.41;9.77;1.95;1.96;3
39;5;0.25;0.9;6.04;1.48;3.82;7.74;5.83;1.63;5.22;9.98;2.89;1.79;5.53;6.9;5.29;3
39;6;8.3;9.41;2.75;5.17;2.1;2.56;1.63;3.16;0.29;2.45;5.32;2.15;1.22;9.79;2.9;3
39;7;4.1;3.69;4.39;1.68;1.34;6.83;1.11;3.3;9.3;7.61;5.11;6.35;2.38;0.28;4.9;3
39;8;1.96;6.08;9.74;0.4;3.03;6.41;6.72;2.75;0.8;5.31;8.38;5.53;2.8;6.44;3.95;3
39;9;4.82;6.51;2.26;0.83;8.3;5.46;2.43;8.74;7.34;8.51;9.97;0.37;9.67;7.73;5.86;3
39;10;3.48;8.45;6.95;4.09;1.51;6.31;0.2;9.84;6.18;4.13;7.78;9.49;3.48;1.73;2.86;3
40;1;2.08;9.17;5.78;5.23;6.75;2.53;8.02;8.02;5.02;4.17;4.0;3.13;7.53;0.86;3.3;3
40;2;0.11;2.74;1.01;5.58;1.83;8.79;8.55;0.91;9.52;1.73;2.59;8.38;4.98;8.96;4.48;3
40;3;10.0;7.46;3.04;6.68;3.41;0.08;9.88;8.71;2.57;7.86;4.54;3.47;1.27;7.78;8.77;3
40;4;6.9;5.71;7.19;1.19;6.07;0.49;9.05;2.32;6.2;6.86;2.57;6.06;3.25;1.55;3.37;3
40;5;8.01;0.73;3.87;7.18;1.36;4.07;2.1;6.53;4.31;2.29;4.52;4.85;5.99;4.23;8.87;3
40;6;0.91;5.16;9.56;4.27;7.03;0.12;0.92;1.76;8.07;2.48;3.42;8.9;3.62;4.44;6.6;3
40;7;6.59;2.28;8.18;2.6;0.14;8.72;5.48;7.24;6.83;2.83;5.22;4.48;7.32;2.02;6.64;3
40;8;3.56;4.92;5.86;2.51;1.7;2.01;8.01;2.43;9.87;9.35;0.56;8.52;2.04;1.41;8.13;3
40;9;6.58;5.12;0.73;0.4;2.94;6.88;8.56;1.68;5.44;1.07;0.51;3.08;0.16;9.69;7.7;3
40;10;7.77;9.07;3.93;9.01;8.61;6.46;4.38;8.62;5.49;0.47;8.59;2.34;9.13;2.16;4.86;3
41;1;5.34;2.86;1.49;2.0;1.95;9.64;1.75;1.56;3.51;9.69;2.72;3.48;9.12;2.26;7.17;3
41;2;4.52;8.08;4.87;0.62;5.05;0.07;0.41;2.45;7.39;5.44;5.5;6.92;5.14;5.47;2.0;3
41;3;9.79;3.77;6.85;9.14;1.85;5.8;5.24;7.25;8.99;4.6;1.93;9.46;7.94;7.97;7.4;3
41;4;8.48;8.1;9.91;8.49;4.27;8.58;0.39;6.65;6.21;2.81;5.03;4.72;6.73;2.21;7.2;3
41;5;0.02;0.83;5.73;1.94;5.58;6.02;8.88;0.8;4.85;4.97;8.16;9.34;7.04;1.85;3.09;3
41;6;8.73;8.82;0.58;3.14;2.78;8.12;5.36;5.11;7.39;9.06;6.59;8.58;6.99;4.32;6.96;3
41;7;9.12;8.07;3.13;7.24;2.67;5.39;1.56;6.35;2.88;5.25;3.2;6.68;2.21;5.25;6.5;3
41;8;8.75;1.22;2.64;3.82;4.0;8.61;3.44;2.54;3.19;9.79;2.76;0.99;3.98;7.5;4.7;3
41;9;1.01;6.71;0.31;1.06;9.5;9.07;5.42;3.78;4.33;5.6;5.6;9.38;2.05;2.51;5.07;3
41;10;8.37;5.48;1.17;0.58;0.42;8.71;8.45;7.15;1.58;4.37;3.76;3.72;6.48;3.4;8.59;3
42;1;1.22;5.48;7.1;3.4;1.39;6.41;4.56;2.97;2.67;5.69;6.12;2.14;5.09;5.54;2.08;2
42;2;6.5;9.7;4.45;7.3;7.61;8.32;9.29;4.61;5.41;3.47;5.96;8.83;2.66;4.03;0.6;2
42;3;8.48;0.51;2.66;8.7;0.1;3.35;7.84;1.79;5.66;8.75;4.65;7.35;5.83;2.55;8.02;2
42;4;4.13;1.91;5.61;9.33;3.92;4.75;5.46;8.42;4.46;6.79;9.13;6.61;2.44;3.47;7.17;2
42;5;4.47;7.77;3.6;1.71;2.33;1.76;8.24;7.33;1.52;6.5;8.3;7.0;8.65;5.14;5.64;2
42;6;0.77;7.35;8.11;3.77;8.73;6.39;1.45;0.7;4.82;2.14;8.19;1.01;6.55;1.67;8.96;2
42;7;2.44;2.98;8.92;0.6;6.06;9.41;1.57;2.4;0.66;7.33;9.13;1.16;8.56;0.98;6.26;2
42;8;6.0;8.42;1.28;6.23;8.85;2.9;7.77;6.36;8.54;1.59;7.68;8.99;4.48;0.12;0.28;2
42;9;2.26;0.1;8.71;6.52;5.51;1.34;7.35;8.07;5.43;7.89;6.89;3.07;6.25;4.59;2.99;2
42;10;4.76;2.92;9.37;8.8;9.6;5.75;6.82;2.06;0.55;2.94;3.2;4.25;1.57;4.84;0.14;2
43;1;1.21;5.32;2.18;4.01;1.32;8.57;9.07;3.73;9.31;9.26;8.24;8.15;4.93;8.95;6.23;3
